version,threads,loop,avg_time
Naive,1,1,1.6434034347534183
Naive,1,2,8.576733541488647
Naive,2,1,0.8495872020721436
Naive,2,2,6.127619791030884
Naive,4,1,0.445749568939209
Naive,4,2,4.3201741695404055
Naive,6,1,0.3452431678771974
Naive,6,2,2.5994367599487282
Naive,8,1,0.2820336341857912
Naive,8,2,1.587678718566896
Naive,12,1,0.2205679893493652
Naive,12,2,1.0353736400604239
Naive,16,1,0.19792618751525878
Naive,16,2,0.9626550674438485
Queue,1,1,1.6432176113128663
Queue,1,2,8.578387069702146
Queue,2,1,0.8465399265289308
Queue,2,2,6.113254261016847
Queue,4,1,0.4961383819580078
Queue,4,2,4.325607967376708
Queue,6,1,0.3225274085998534
Queue,6,2,2.637597465515136
Queue,8,1,0.2929232120513916
Queue,8,2,1.6276072025299062
Queue,12,1,0.26603684425354024
Queue,12,2,1.0234151840209964
Queue,16,1,0.34116797447204605
Queue,16,2,1.9506549358367942
